id,name,message,story,link,description,created_time,likes,shares,comments
112784955679_10155052643895680,"ZDF heuteplus",,"ZDF heute shared ZDF heuteplus's live video.",https://www.facebook.com/heuteplus/videos/1496395703706006/,"Und wenn jetzt alle 1.000 Euro im Monat einfach so auf's Konto bekommen - geht da echt noch jemand arbeiten? Eure Fragen zum bedingungslosen 💸 Grundeinkommen an Daniel Bröckerhoff und den Schweizer Unternehmer Daniel Häni. #DeinD #Arbeit",Wed Feb 08 20:39:13 CET 2017,60,0,33
112784955679_1496204433725133,,"Bedingungsloses Grundeinkommen: die Finnen testen, in Deutschland braucht's Losglück bei Mein Grundeinkommen. Und Kanada hat damit schon in den 70ern experimentiert. Ergebnis: Einkommen ohne Job macht keineswegs faul. #DeinD",,https://www.facebook.com/ZDFheute/videos/1496204433725133/,,Wed Feb 08 19:45:00 CET 2017,239,54,49
112784955679_10155052399405680,,"JETZT LIVE+++ Der 9. Tag der Proteste in Bukarest.","ZDF heute was live.",https://www.facebook.com/ZDFheute/videos/10155052399405680/,,Wed Feb 08 19:21:02 CET 2017,669,268,233
112784955679_10155052273700680,"Kamingespräch mit Hans-Georg Maaßen","BfV-Präsident Maaßen hält es für möglich, dass Russland Einfluss auf den Bundestagswahlkampf nehmen könnte. Über gezielte Desinformation in sozialen Netzwerken werde Stimmung gemacht, sagte er im PHOENIX-Kamingespräch mit dem stellv. ZDF-Chefredakteur Elmar Theveßen. Das ganze Gespräch gibt es am kommenden Sonntag um 17 Uhr auf Phoenix.",,https://www.facebook.com/ZDFheute/videos/10155052273700680/,,Wed Feb 08 18:49:45 CET 2017,39,15,121
112784955679_10155052180595680,,"Arbeitgeber Youtube: Viele Menschen träumen vom Ruhm im Netz. Der 23-jährige Christian Reinhard aka. TheChrisTezzShow hat es geschafft und lebt von seinen Einnahmen über die soziale Plattform. Was den Beruf ausmacht? Fragen Sie ihn jetzt hier live.","ZDF heute is live now.",https://www.facebook.com/ZDFheute/videos/10155052180595680/,,Wed Feb 08 18:03:06 CET 2017,382,54,385
112784955679_10155052136975680,"Timeline Photos","Youtube als Arbeitgeber: Einer, der das behaupten kann ist Christian Reinhard aka. TheChrisTezzShow. Wie so ein Arbeitsalltag aussieht? Fragen Sie ihn doch einfach, gleich im Livechat. #DeinD",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155052136975680/?type=3,,Wed Feb 08 17:43:33 CET 2017,17,1,5
112784955679_1495388440473399,,"Was steckt hinter der Arbeitslosenstatistik? Wie viele Menschen sind wirklich ohne Job? ZDF heuteplus hat die Zahlen für den Monat November gecheckt. #DeinD",,https://www.facebook.com/ZDFheute/videos/1495388440473399/,,Wed Feb 08 17:00:00 CET 2017,366,1121,116
112784955679_1495351957143714,,"Millionen Menschen werden weltweit zur Arbeit gezwungen oder als #Sklaven verkauft. ZDF heuteplus-Reporter Sven Class hat recherchiert, wieviele Sklaven für Ihn arbeiten. #DeinD",,https://www.facebook.com/ZDFheute/videos/1495351957143714/,,Wed Feb 08 16:00:01 CET 2017,94,97,66
112784955679_10155051821875680,"Arbeitslosenzahlen: Kosmetik bei der Arbeitslosen-Statistik.","Wie viele Menschen sind in Deutschland arbeitslos? 2,7 oder 3,7 Millionen? Das ist alles eine Frage der Sichtweise – und sorgt regelmäßig Streit zwischen der Agentur für Arbeit und der Links-Partei. #DeinD",,http://www.heute.de/kosmetik-bei-der-arbeitslosen-statistik-46494438.html,,Wed Feb 08 15:04:55 CET 2017,116,46,93
112784955679_10155051662800680,"Timeline Photos","Beschimpft, bespuckt, mit Steinen beworfen – Angriffe auf Polizisten häufen sich, die Hemmschwelle scheint zu sinken. Das Kabinett hat einen Gesetzentwurf gebilligt, der solche Attacken härter bestraft.",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155051662800680/?type=3,,Wed Feb 08 13:47:42 CET 2017,729,78,201
